Shop Name,City,Neighborhood,Address,Website,Instagram,Category,Vibe,Price Tier,Silo Fit,Contact Email,Contact Name,Google Rating,Outreach Status,Notes
Common Things,New York,East Village,"76 East 7th Street, New York, NY 10003",https://mirrappprojects.com,@commonthingsnyc,"Design Objects, Home Goods",Story-forward shop of home goods by architect Komal Kehar,$$,Perfect,,,,To Research,
Lekker Home,Boston,South End,South End (exact address TBD),https://lekker-home.com/,@lekkerhome,"Design Objects, Home Goods","European-inspired designs, modern minimalist, sustainable high-quality materials",$$,Perfect,,,,To Research,
Linen Society,Portland,Pearl District,"Pearl District, Portland, OR",https://linensociety.com/,@linensociety,"Design Objects, Home Goods",Luxury linens and home decor flagship combining French Quarter Linens,$$$,Perfect,,,,To Research,
Shake the Tree,Boston,North End,"67 Salem Street, Boston, MA 02113",https://shakethetreeboston.com/,@shakethetreeboston,"Design Objects, Home Goods","Indie boutique with curated home goods, handmade jewelry, apothecary, and stationery",$$,Perfect,,,,To Research,
Sequoia,Santa Fe,Canyon Road,"201 Canyon Rd, Santa Fe, NM 87501",https://sequoiasantafe.com,@sequoiasantafe,"Design Objects, Home Goods","Canyon Road gallery featuring contemporary furniture, art, and design objects",$$,Strong,,,,To Research,
Pierce & Ward,Los Angeles,Los Feliz,1956 Hillhurst Ave,https://pierceandward.com/,@pierceandward,"Design Objects, Home Goods","Maximalist aesthetic with soft sage green walls, celebrity clientele",$$,Perfect,,,,To Research,
Calimia Home,Miami,Coral Gables,"Alhambra Circle & Galiano Ave, Coral Gables, FL 33134",https://calimiahome.com,@calimiahome,"Design Objects, Home Goods","Interior design studio & showroom, Scandinavian design and California luxe style",$$$,Perfect,,,,To Research,
MoMA Museum Store,New York,Midtown,"11 West 53rd Street, New York, NY 10019",https://store.moma.org,@momadesignstore,Museum Shop & Design Objects,"Adjacent to MoMA lobby, modern art-inspired home goods",$$$,Perfect,,,,To Research,
Casa di LaValle,Seattle,Pioneer Square,108 S Jackson St Suite 108,https://www.casadilavalle.com/,@casadilavalle,"Design Objects, Home Goods","Impossibly chic decor and gifts, impeccable eye, art new vintage home decor",$$,Perfect,,,,To Research,
Detroit Institute of Arts Shop,Detroit,Midtown,"5200 Woodward Ave, Detroit, MI 48202",https://diashop.org,@diadetroit,"Design Objects, Home Goods","Museum shop with art-inspired jewelry, books, prints, and home decor from 65,000-object collection",$$,Perfect,,,,To Research,
